mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.85077397,0.05991843,0.00585858,0.000214606,0.6,0.05,3,3,100,0.2,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.352300904,0.340732437,0.445787397,0.379606913,0.047034382,35,0.921534757,0.937069276,0.946957593,0.935187209,0.010463804
7.468584617,0.373533358,0.005841017,0.000630661,1,0.1,4,1,100,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.390716066,0.39185002,0.355160075,0.379242054,0.017034822,36,0.987062975,0.990616273,0.994446665,0.990708638,0.003015086
3.031740268,0.179649537,0.005668799,0.000472832,0.6,0.05,3,3,100,0.2,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 0.5, 'subsample': 0.5}",0.382633044,0.326088608,0.428780321,0.379167324,0.041995281,37,0.926778532,0.941808798,0.954235657,0.940940996,0.011226108
6.954669317,0.371614835,0.005179564,0.000613121,0.6,0.05,4,3,150,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.396565044,0.288896722,0.452015455,0.379159074,0.06772078,38,0.928567178,0.951603815,0.954522839,0.944897944,0.011608922
11.91828068,0.422349097,0.006177346,0.000243766,1,0.05,4,1,150,0.2,5,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.41211161,0.325669566,0.399181001,0.378987393,0.038069175,39,0.931956343,0.954738073,0.956842455,0.947845623,0.011268216
2.718520403,0.169902946,0.006011407,0.000410028,0.6,0.1,4,3,50,0.1,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.355254403,0.360563723,0.420468163,0.378762096,0.02957019,40,0.944231979,0.967046348,0.97273479,0.961337706,0.012316493
4.973301252,0.125324678,0.005179008,0.000257239,0.6,0.05,3,3,150,0.2,5,1,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 1.0}",0.426116094,0.268807003,0.43969974,0.378207612,0.077556426,41,0.984091109,0.986646654,0.987762026,0.986166597,0.001536609
7.334151904,0.873116538,0.007352273,0.000620457,1,0.05,4,3,100,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.440741015,0.338350816,0.355169922,0.378087251,0.044831843,42,0.940674446,0.957708923,0.966237997,0.954873789,0.010627081
0.977880557,0.028490138,0.004839977,0.000227992,1,0.1,2,3,50,0.1,5,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.448724528,0.284823909,0.399482109,0.377676849,0.06866564,43,0.83898041,0.883947996,0.892469664,0.871799357,0.023465821
7.901257197,0.129300002,0.006031195,0.001095931,1,0.05,4,1,100,0.2,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.446976878,0.321059362,0.364871291,0.377635844,0.052191989,44,0.929899452,0.945207692,0.954296652,0.943134599,0.01006741
5.117099444,0.267998708,0.005507867,0.000410841,0.6,0.05,3,1,150,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.384279073,0.340052064,0.408319798,0.377550312,0.028273404,45,0.939516189,0.957074539,0.959410686,0.952000472,0.008879091
